C,C++ ,Java,Python,Ruby,R
226.431943,224.691181,524.71185,4870.788916,10068.99906,732.149487
226.659247,226.341824,537.636654,4875.352407,9948.302187,721.910866
227.382211,225.146803,526.083391,4883.837075,10084.71434,727.121936
227.016439,226.607626,577.818832,4877.08259,9866.005947,728.907442
249.703983,226.861032,527.498098,4935.953149,9998.642618,727.786181
226.591546,226.810574,525.159307,4936.106815,9956.997273,761.762344
226.826225,226.693859,534.186669,4906.367248,10004.80821,729.340229
262.791354,238.024197,527.832859,4919.21112,9963.60056,727.157049
226.465795,226.609826,538.971418,4856.065966,9957.946245,726.742522
226.710199,228.15907,529.536754,4875.157157,9974.293107,731.507332
226.749113,225.573309,522.644259,4887.752932,10196.93482,727.231347
226.17794,228.201107,566.521358,4884.165854,9913.501618,728.219392
226.823632,228.727116,528.683733,4891.756524,9937.214555,721.738036
227.104049,260.562684,526.00229,4858.043316,10000.20081,723.511678
223.040541,227.208566,561.77085,4889.582909,10015.1146,728.306281
226.793253,226.402625,529.90269,4938.46314,9987.290337,727.524799
226.279882,240.28625,551.277855,4885.372333,10013.63997,729.050597
226.810596,224.568577,542.772006,4837.21796,10143.93333,729.549341
226.715686,226.600022,542.920796,4890.22499,9933.644028,729.170567
226.494475,226.423847,528.72003,4882.177294,9886.150228,738.853504
226.633852,225.098518,564.630521,4884.878782,9948.334556,726.108797
226.493275,228.411173,531.461239,4863.719799,9943.465106,727.505323
226.810039,229.483133,537.900309,4918.476179,9992.863793,728.562279
226.906333,226.30652,531.210742,4819.337772,9932.402201,768.904335
222.107734,225.998246,532.948896,4856.017196,9960.358181,729.03467
226.857926,226.187636,525.645745,4872.264887,9952.571688,721.737913
226.142205,225.971888,523.784573,4877.928232,9950.973608,729.250313
266.264471,225.938814,529.544042,4867.642403,9979.66042,734.75785
226.824376,225.618131,528.414069,4870.64045,9941.01844,738.811029
226.693025,230.619294,525.588623,4925.853151,9929.990828,728.361857
223.293657,229.832951,531.68412,4854.466536,9974.101793,730.744068
222.774177,226.342526,522.469221,4888.901529,9922.745295,747.644279
224.143402,225.715036,523.44328,5044.054175,9958.224391,729.20955
226.408805,226.163212,569.006372,4916.383589,10089.88804,729.024059
226.443088,226.50387,524.668199,4902.44222,10020.49395,726.483096
238.105005,226.140118,520.798132,4857.54751,10149.14509,732.637753
226.881763,225.874194,535.296786,4857.714103,10047.59801,730.303539
226.406947,227.881682,523.848335,4875.067375,10177.30418,727.825472
226.606638,226.187936,523.704993,4858.193723,10252.47034,719.743357
226.699684,225.98708,524.017883,4870.015849,9982.190367,724.784271
226.533541,279.344774,523.131115,4877.918431,9930.734905,728.219915
274.439335,225.875259,538.704689,4843.486113,9948.290701,724.899977
226.460937,226.006607,530.455571,4818.167444,10087.77662,728.780022
264.930236,225.042772,542.527956,4849.625584,9994.812128,770.965518
226.325341,237.329195,537.386306,4908.959044,9970.569312,724.361137
253.313088,226.040639,529.310624,4852.687875,9989.369279,724.054985
229.46896,228.554546,527.057426,4836.212825,9960.714894,717.568324
226.72241,232.213054,540.771303,4835.810982,9993.750548,727.937925
226.891506,226.531915,533.516136,4851.192489,10020.03309,728.197477
226.888432,226.804428,560.928734,4857.025311,9915.251041,729.786757
224.031711,226.926556,523.96723,4909.185663,10101.97477,721.500361
226.841175,227.03585,548.041247,4849.854784,9942.451057,725.76479
227.191273,226.617569,522.82626,4880.999258,9978.473062,733.752095
225.388095,230.010587,535.010095,4893.228065,9964.602226,729.165247
226.609153,226.522384,520.804818,4847.008447,9936.447138,729.588419
223.376562,226.640403,524.823281,4868.49665,10119.07018,751.935947
226.523315,227.048666,523.746847,4889.065567,10054.58258,719.137012
226.937824,227.456568,526.252614,4847.358928,9969.008643,725.405069
226.449294,226.320378,522.888523,4916.369489,10017.03102,721.529912
225.052712,226.087964,531.417713,4854.498606,9938.379326,744.827953
226.807002,256.772094,526.703706,4803.525599,9906.50142,734.327006
225.353988,232.202348,538.110566,4876.697374,10071.64436,742.214093
239.882936,267.435454,540.716393,4890.617626,10004.66671,726.07242
226.679121,222.55352,528.418269,4950.519021,9958.761288,726.23038
226.504835,226.315707,524.902844,4876.763684,9948.98392,725.854969
264.325542,226.378388,522.270235,4878.784203,10020.55586,718.800613
240.051757,226.97283,523.274972,4832.254319,9989.114206,726.798573
225.65199,226.705343,533.988025,4870.419747,9935.549051,726.692558
226.966232,226.330404,525.858351,4862.196621,9893.235529,729.043961
226.458937,226.374789,524.03226,4887.316661,10000.51845,727.512989
226.066156,227.01691,523.017291,4916.776991,9967.58657,719.238975
226.851598,226.922172,526.460389,4933.601063,9975.856428,720.857517
226.739222,224.809955,519.752027,4880.70593,10026.46767,726.011391
221.977694,223.157254,532.261374,4884.510403,10010.35556,728.603483
224.759153,226.927517,555.11705,4860.779811,10028.58296,732.08242
235.095686,227.062304,528.015369,4840.35972,10506.41768,724.416269
226.710147,226.564371,523.51324,4892.445109,9953.335819,727.330137
226.473419,226.066201,523.538935,4877.444108,10059.13962,728.338209
226.977592,230.879157,528.752037,4882.792127,9963.955638,724.163654
226.974996,226.358338,525.026879,4860.004786,9953.601036,724.966579
238.755234,265.295132,529.191254,4913.141147,9970.355628,726.769863
237.668492,266.521854,521.365111,4869.440006,9970.505013,727.436837
222.075444,226.418108,526.531519,4884.25487,9908.535425,728.622547
226.575203,226.827304,533.813904,4847.352119,9981.022629,779.97683
226.162931,226.358556,535.661874,4926.744046,9904.152986,755.770533
226.998713,238.999109,532.570186,4864.288417,10003.47041,770.917499
226.315364,226.333165,533.774361,4864.778566,10123.45968,726.643483
226.428204,227.035295,525.238272,4832.113021,9988.073186,727.636767
265.188678,280.252587,525.20653,4872.74153,9982.94559,735.778898
226.510449,226.677203,527.853937,4963.378407,10031.74661,728.820642
226.338125,226.599969,531.465511,4890.50835,10119.86689,742.882972
230.387637,227.085402,527.434445,4876.704515,10076.0736,722.046072
268.819675,222.294727,539.72106,4880.676497,9937.392052,725.988611
222.44315,226.230092,527.286351,4857.430258,9971.145736,730.250186
226.26637,226.348429,528.233615,4868.549064,9976.456623,737.957346
226.483359,227.109316,537.84968,4854.84529,10104.76576,726.898675
226.190849,230.126944,527.028151,4861.626221,10174.99524,728.243109
227.000239,222.06165,534.108285,4853.003555,9932.209434,727.445078
226.525467,226.479116,533.638458,4890.769427,9903.718865,729.287356
223.21115,254.769589,535.165935,4851.799727,10336.46178,727.847986