C,CPP,Java,Python,Ruby,R
378.1969933333333,322.4682066666666,766.8556599999998,3170.1693733333327,74.46272,2034.0798333333335
357.46840666666674,409.9713133333334,764.62624,3165.0112933333326,8047.328093333333,1843.1318399999996
418.4401066666668,370.03922,767.8129933333333,3176.75492,8072.922046666666,1821.619273333333
320.89472,317.38272666666666,756.8438533333334,3173.9732200000003,8054.207393333332,1880.6959733333335
378.5239866666667,336.6321466666667,772.1174333333333,3159.8063199999992,8049.381526666664,1850.234173333333
427.89117999999996,336.9126066666667,752.2492533333332,3186.58564,8072.745526666667,1797.92714
314.46150000000006,357.67083333333335,759.8587399999999,3158.096806666667,8050.710013333333,1819.63804
335.55626666666666,431.1397867,757.9644399999999,3180.3012599999997,8058.6697399999985,1872.2163066666662
345.0641133333333,434.40590000000003,762.2717133333333,3155.245753333333,8051.454606666667,1894.3252199999997
317.57327333333336,357.0462733333332,758.3243066666668,3161.425193333333,8048.426433333332,1801.8178400000002
346.2907999999999,432.2467333333333,754.3424200000001,3157.5092600000003,8053.610699999999,1899.9631800000002
342.6859733333333,416.14349999999996,763.9070866666666,3175.387246666666,8057.65964,1811.6917066666663
373.41296,324.34291333333323,782.7742466666665,3162.7165333333337,8040.282926666666,1814.909493333333
421.47533999999996,342.3455533333333,756.60828,3158.897433333333,8056.977926666667,1854.1772266666665
427.2403800000001,339.56193999999994,766.92682,3169.38104,8046.402666666666,1874.561673333333
435.8673133333333,319.28409999999997,760.6493999999999,3160.0163200000006,8043.051673333333,1767.2733199999998
327.59745333333336,337.8691933333333,762.4743333333332,3188.2308333333335,8050.089173333333,1843.5256733333333
449.4786666666667,344.4589399999999,760.01766,3178.342586666667,8046.639693333332,1816.6846
408.77796666666666,327.74024,758.0068933333333,3192.930453333333,8062.9590266666655,1822.2014666666664
383.4964066666666,337.15922000000006,760.0442999999999,3169.7965199999994,8046.358753333334,1858.8000133333335
373.79068,380.37547999999987,765.61044,3182.596673333333,8047.63136,1868.9266
379.12088,470.7962333333334,766.6952733,3195.404667,8049.023019999999,1722.1296866666662
392.9250266666666,342.90833333333336,778.0431666666667,3168.523246666666,8075.010033333331,1734.768913333333
393.07893999999993,344.1852933333333,753.5266466666667,3162.52368,8066.151506666665,1747.317613333333
354.87496,324.0183466666666,748.3293733333333,3181.84924,8242.541446666664,1809.35662
403.83015333333327,372.76324666666665,770.7987,3206.095373333333,8106.891126666666,1843.6572133333332
409.97916666666674,340.90386666666666,804.6032733333334,3184.7049266666663,8139.352126666667,1831.1199533333333
361.1174066666666,345.3312933333334,774.7821133333333,3205.2069399999996,8143.4235,1821.324234